"energy","loudness","acousticness","instrumentalness","tempo","duration_ms","track_age","track_popularity"
0.573,-5.081,0.0416,0,135.96,213707,6,57
0.741,-3.83,0.298,0,128.081,230613,9,16
0.855,-4.493,0.000452,0.00146,129.9,105219,7,48
0.9,-3.719,0.00664,0.0145,127.978,202500,7,72
0.791,-5.599,0.239,0.784,128.007,176260,7,2
0.956,-4.498,0.0256,0.588,127.984,217500,7,2
0.806,-5.639,0.000598,0,131.882,234680,7,66
0.868,-3.287,0.0313,0,124.994,202999,8,68
0.911,-2.979,0.0623,5.22e-05,125.959,195714,7,50
0.945,-5.219,0.00105,0.0342,127.985,172500,7,39
0.828,-5.935,0.00379,0.797,128.003,189625,7,1
0.943,-3.604,0.0448,3.83e-06,127.999,171712,7,4
0.593,-5.036,0.093,1.65e-06,125.026,197267,10,16
0.813,-5.792,0.0201,0,125.034,213120,8,58
0.76,-4.706,0.0733,0,135.702,260000,6,77
0.757,-3.01,0.0866,0,131.993,254653,7,71
0.744,-5.52,0.0234,0.000157,125.985,207630,7,65
0.519,-5.88,0.109,0,133.99,195707,8,80
0.857,-8.26,0.00164,0.557,128.058,147187,7,1
0.817,-5.409,0.0225,1.03e-06,118.021,182633,5,67
0.722,-5.43,0.0489,0,127.952,218357,5,28
0.787,-4.302,0.00489,0,128.997,211867,5,48
0.885,-3.989,0.0169,0,139.95,221233,5,39
0.805,-4.499,0.074,0,144.983,222932,5,60
0.88,-2.965,0.194,0,127.075,224882,5,29
0.858,-3.374,0.112,0,106.019,230943,5,21
0.863,-4.939,0.00947,0.0136,112.986,203147,5,40
0.666,-4.503,0.0795,1.89e-05,109.958,163040,5,37
0.569,-7.18,0.287,0.000491,105.014,215140,5,38
0.52,-7.575,0.617,0.0182,123.972,181200,5,17
0.744,-3.799,0.101,0,133.994,208333,5,30
0.714,-6.197,0.0622,0,127.41,195433,5,31
0.77,-5.531,0.0403,0,102,193553,5,37
0.961,-2.259,0.023,0,137.9,240100,5,35
0.733,-5.788,0.105,0,124.885,270904,5,49
0.993,-2.026,0.507,0,93.021,208376,5,42
0.588,-7.454,0.237,0.000913,92.985,225412,5,23
0.666,-5.001,0.577,0,127.967,223920,5,34
0.865,-5.125,0.0127,0,187.981,244061,5,27
0.8,-5.715,0.00588,1.63e-05,117.98,205928,5,60
0.673,-6.526,0.0564,0,112.059,228371,5,53
